,0
Age,0.8416577103746337
GenHlth,0.524722155655652
Sex,0.4069091483789068
HighChol,0.3151994353578651
HighBP,0.276690889058016
Stroke,0.2221037332509063
Smoker,0.19048855860542804
DiffWalk,0.1202399985295869
Income,0.11472147601450144
Diabetes,0.10842327754546165
CholCheck,0.09666622093848648
NoDocbcCost,0.07434453934170718
HvyAlcoholConsump,0.07059246493814163
MentHlth,0.040979714814192374
PhysHlth,0.027896810937156947
PhysActivity,0.018756568364263412
AnyHealthcare,0.01824033672231518
Veggies,0.016891001262160272
BMI,0.011326715377393872
Fruits,0.0030302024464417773
Education,0.002579047728753672
