,0
Age,0.21377374233867086
GenHlth,0.1802646719310644
HighBP,0.15843510404528188
HighChol,0.08452232384655715
DiffWalk,0.07272213488770685
Stroke,0.04924816627028829
Sex,0.0454126817106572
PhysHlth,0.04467476120681257
Diabetes,0.0382553607322535
Income,0.029161329462841015
Smoker,0.0255064090308156
BMI,0.01744690862426583
Education,0.010508499594360836
MentHlth,0.010345932252729497
PhysActivity,0.003687057868762831
CholCheck,0.0029410549246135344
NoDocbcCost,0.0028240995005449194
Fruits,0.0027684635727735695
HvyAlcoholConsump,0.0025954841969510253
Veggies,0.0025226219372407083
AnyHealthcare,0.002383192064807977
