dataset,protocol,model,recall,recall_sd,f1,f1_sd,auc,auc_sd
Cleveland (Task 1 label),Task 1 hold-out (70/30),RF,0.86,,0.819047619047619,,0.868780487804878,
Cleveland (Task 1 label),Task 1 hold-out (70/30),LR,0.84,,0.7924528301886793,,0.8663414634146342,
Cleveland (Task 1 label),"Repeated CV (5-fold, 10x)",RF,0.8624242424242425,0.06333550815462663,0.8424560376795415,0.039103066049378375,0.9062730479397146,0.03392350901261072
Cleveland (Task 1 label),"Repeated CV (5-fold, 10x)",LR,0.8587878787878788,0.06846339165077132,0.8391740565705527,0.040635020328238736,0.8973328523328523,0.03953981749293709
Cleveland (corrected),"Repeated CV (5-fold, 10x)",RF,0.7839682539682539,0.08074048069746691,0.8053454546794186,0.0554060135408187,0.9089297739297738,0.03351070079777477
Cleveland (corrected),"Repeated CV (5-fold, 10x)",LR,0.7963756613756615,0.08502869799460216,0.822521666904295,0.054190061673899594,0.9128411095077763,0.03716684726918172
Cleveland (corrected),Nested CV,RF,0.786084656084656,0.07773819314458887,0.8075521701667127,0.051162633778488564,0.9100737534070866,0.03378417063221927
Cleveland (corrected),Nested CV,LR,0.7942063492063492,0.08598497739563876,0.8222031264093331,0.05769596514666656,0.9147009780343113,0.03474669940889941
BRFSS,"Task 1 hold-out (80/20), code re-run",RF,0.7987026574597196,,0.3751720070768626,,0.8464811099677713,
BRFSS,"Task 1 hold-out (80/20), code re-run",LR,0.7970286670851643,,0.37845893983804463,,0.8470355097762515,
BRFSS,Stratified 5-fold CV,RF,0.7946263174725549,0.0033275593377294905,0.3726332620029413,0.0028423305746340375,0.8460484422668199,0.002259205301927616
BRFSS,Stratified 5-fold CV,LR,0.7950868312436044,0.005317061613367924,0.37690814851482646,0.003916392204792261,0.8473812676855559,0.002719559094781663
