model,dataset,attribute,tpr_gap,fpr_gap,eq_odds_diff,dem_parity_diff
random_forest,Cleveland,Sex,0.033991228070175405,0.15739247311827959,0.15739247311827959,0.2945048309178744
random_forest,Cleveland,Age,0.23076923076923075,0.2468590831918506,0.2564222280266423,0.4066414141414142
random_forest,BRFSS,Sex,0.07922231885161901,0.10028666995195892,0.10028666995195892,0.12481420878297506
random_forest,BRFSS,Age,0.5875369986719787,0.44934708973381643,0.5875369986719787,0.505875050646987
random_forest,BRFSS,Income,0.19414484847411595,0.31486615256958306,0.31486615256958306,0.3479932440798834
random_forest,BRFSS,Education,0.12517885525670747,0.21249859549467617,0.21249859549467617,0.2361898057362919
logistic_regression,Cleveland,Sex,0.07171052631578943,0.15147849462365592,0.15147849462365592,0.3203200483091787
logistic_regression,Cleveland,Age,0.15384615384615388,0.16003656784641504,0.18030233773018153,0.3449494949494949
logistic_regression,BRFSS,Sex,0.10876198509170998,0.13048201198756168,0.13048201198756168,0.15499177388484517
logistic_regression,BRFSS,Age,0.6251962815405047,0.4430378646235175,0.6251962815405047,0.5013615600647511
logistic_regression,BRFSS,Income,0.19701255159668873,0.3142406109770309,0.3142406109770309,0.34838163500289204
logistic_regression,BRFSS,Education,0.11692750718061429,0.20313899534014046,0.20313899534014046,0.22741822560922165
