model,dataset,attribute,group,recall,fpr,precision,base_rate,n
random_forest,Cleveland,Sex,Female,0.7791666666666666,0.04583333333333333,0.8503209109730848,0.25,96.0
random_forest,Cleveland,Sex,Male,0.7850877192982456,0.2032258064516129,0.8259070636407199,0.5507246376811594,207.0
random_forest,Cleveland,Age,50-59,0.7933333333333333,0.16,0.821546302199623,0.48,125.0
random_forest,Cleveland,Age,60+,0.8538461538461538,0.2710526315789473,0.8120919699668459,0.5777777777777777,90.0
random_forest,Cleveland,Age,<50,0.6230769230769231,0.024193548387096774,0.9162220502235983,0.29545454545454547,88.0
random_forest,BRFSS,Sex,Female,0.7492405683488486,0.21409436210337787,0.2132359093064116,0.07187935819234507,141974.0
random_forest,BRFSS,Sex,Male,0.8284628872004676,0.3143810320553368,0.26900723520341596,0.12253594256351494,111706.0
random_forest,BRFSS,Age,18-44,0.27091633466135456,0.017465702356099014,0.17879053461875546,0.01384165732247569,54401.0
random_forest,BRFSS,Age,45-59,0.6118451025056948,0.13426110919738202,0.21609010458567982,0.05703891379198337,76965.0
random_forest,BRFSS,Age,60+,0.8584533333333333,0.46681279208991544,0.2497788674911935,0.15329398106512745,122314.0
random_forest,BRFSS,Income,$25-50k,0.8173938592625238,0.3198070068051705,0.2385116598079561,0.10916876493512742,62353.0
random_forest,BRFSS,Income,<$25k,0.8763328569858195,0.4638053716118949,0.26116298116298114,0.1575974914678724,57723.0
random_forest,BRFSS,Income,>=$50k,0.6821880085117036,0.14893921904231183,0.22558880748375346,0.05979611388880572,133604.0
random_forest,BRFSS,Education,College grad,0.7218692644359734,0.17000857923824345,0.2307831189347777,0.0659958071278826,107325.0
random_forest,BRFSS,Education,HS or less,0.8470481196926809,0.3825071747329196,0.24763565433266344,0.12940022238210477,76445.0
random_forest,BRFSS,Education,Some college,0.7941601618965018,0.2623666497332995,0.24948912401798284,0.09895580031469031,69910.0
logistic_regression,Cleveland,Sex,Female,0.7375,0.029166666666666664,0.897041698449021,0.25,96.0
logistic_regression,Cleveland,Sex,Male,0.8087719298245613,0.18064516129032257,0.8460710510622039,0.5507246376811594,207.0
logistic_regression,Cleveland,Age,50-59,0.7883333333333333,0.15384615384615385,0.825721819425563,0.48,125.0
logistic_regression,Cleveland,Age,60+,0.8538461538461538,0.18684210526315786,0.8625037991974729,0.5777777777777777,90.0
logistic_regression,Cleveland,Age,<50,0.7,0.029032258064516127,0.9117103364471785,0.29545454545454547,88.0
logistic_regression,BRFSS,Sex,Female,0.7327780499755022,0.1963967245710296,0.2241808316095572,0.07187935819234507,141974.0
logistic_regression,BRFSS,Sex,Male,0.8415400350672122,0.3268787365585913,0.2644459239192819,0.12253594256351494,111706.0
logistic_regression,BRFSS,Age,18-44,0.23240371845949534,0.014408738443185208,0.18459915611814345,0.01384165732247569,54401.0
logistic_regression,BRFSS,Age,45-59,0.6246013667425968,0.1346331381329659,0.2191321026132822,0.05703891379198337,76965.0
logistic_regression,BRFSS,Age,60+,0.8576,0.4574466030667027,0.2534079268773146,0.15329398106512745,122314.0
logistic_regression,BRFSS,Income,$25-50k,0.8085794035551638,0.30704281136355455,0.24398244603040914,0.10916876493512742,62353.0
logistic_regression,BRFSS,Income,<$25k,0.8818291744531164,0.461070209353021,0.2635175087050785,0.1575974914678724,57723.0
logistic_regression,BRFSS,Income,>=$50k,0.6848166228564276,0.14682959837599013,0.2287685553000209,0.05979611388880572,133604.0
logistic_regression,BRFSS,Education,College grad,0.7292107863899477,0.1703377825661898,0.23223920863309352,0.0659958071278826,107325.0
logistic_regression,BRFSS,Education,HS or less,0.846138293570562,0.37347677790633027,0.25191115391560825,0.12940022238210477,76445.0
logistic_regression,BRFSS,Education,Some college,0.7895345475570974,0.25381000762001527,0.25463869463869465,0.09895580031469031,69910.0
