dataset,model,fold,size,split,f1,recall
brfss,random_forest,0,500,train,0.9166666666666666,0.9361702127659575
brfss,random_forest,0,500,val,0.2801713277903754,0.23273336123901214
brfss,logistic_regression,0,500,train,0.39378238341968913,0.8085106382978723
brfss,logistic_regression,0,500,val,0.3708851128582298,0.7651737128505651
brfss,random_forest,0,1000,train,0.8888888888888888,0.9361702127659575
brfss,random_forest,0,1000,val,0.31619718309859157,0.28191712013394726
brfss,logistic_regression,0,1000,train,0.4126984126984127,0.8297872340425532
brfss,logistic_regression,0,1000,val,0.3752387836233156,0.760569275847635
brfss,random_forest,0,2500,train,0.7763401109057301,0.8936170212765957
brfss,random_forest,0,2500,val,0.36249879680431224,0.3940979489326078
brfss,logistic_regression,0,2500,train,0.37462834489593655,0.8042553191489362
brfss,logistic_regression,0,2500,val,0.36622390891840606,0.8078694014231896
brfss,random_forest,0,5000,train,0.6768982229402262,0.8895966029723992
brfss,random_forest,0,5000,val,0.38853034882771015,0.49769778149853494
brfss,logistic_regression,0,5000,train,0.3800995024875622,0.8110403397027601
brfss,logistic_regression,0,5000,val,0.36905455251407493,0.7957304311427376
brfss,random_forest,0,10000,train,0.5923497267759563,0.8630573248407644
brfss,random_forest,0,10000,val,0.3985282447153885,0.5780661364587694
brfss,logistic_regression,0,10000,train,0.37403630937577714,0.7983014861995754
brfss,logistic_regression,0,10000,val,0.37274725274725273,0.7986605274173294
brfss,random_forest,0,25000,train,0.484959201071733,0.8454352441613588
brfss,random_forest,0,25000,val,0.39304347826086955,0.6858518208455421
brfss,logistic_regression,0,25000,train,0.3785305055784501,0.7995753715498939
brfss,logistic_regression,0,25000,val,0.3764415968457368,0.7992884051904563
brfss,random_forest,0,50000,train,0.4320879120879121,0.8349968146103207
brfss,random_forest,0,50000,val,0.38609451385116783,0.7438258685642528
brfss,logistic_regression,0,50000,train,0.37429831595829993,0.7929496708430664
brfss,logistic_regression,0,50000,val,0.3780572333894445,0.799079112599414
brfss,random_forest,0,100000,train,0.4039220745710231,0.8309799341756025
brfss,random_forest,0,100000,val,0.3790449982163787,0.7783591460862286
brfss,logistic_regression,0,100000,train,0.3751882719148509,0.7933963265739463
brfss,logistic_regression,0,100000,val,0.3786595333630554,0.7999162829635831
brfss,random_forest,0,202944,train,0.3886438741538802,0.827517656290871
brfss,random_forest,0,202944,val,0.3747169439795215,0.7965676015069066
brfss,logistic_regression,0,202944,train,0.37646008481511795,0.7941407271776092
brfss,logistic_regression,0,202944,val,0.37837032623268285,0.7974047718710757
brfss,random_forest,1,500,train,0.8958333333333334,0.9148936170212766
brfss,random_forest,1,500,val,0.2925934979222684,0.2505232314776057
brfss,logistic_regression,1,500,train,0.4022346368715084,0.7659574468085106
brfss,logistic_regression,1,500,val,0.37144779750504686,0.7509418166596903
brfss,random_forest,1,1000,train,0.8421052631578947,0.9361702127659575
brfss,random_forest,1,1000,val,0.3184237345713962,0.2942653830054416
brfss,logistic_regression,1,1000,train,0.3631713554987212,0.7553191489361702
brfss,logistic_regression,1,1000,val,0.36572377741951245,0.7833821682712432
brfss,random_forest,1,2500,train,0.7730496453900709,0.9276595744680851
brfss,random_forest,1,2500,val,0.3546457281734904,0.39702804520719964
brfss,logistic_regression,1,2500,train,0.3743743743743744,0.7957446808510639
brfss,logistic_regression,1,2500,val,0.36787341165188203,0.8028463792381749
brfss,random_forest,1,5000,train,0.6635367762128326,0.9002123142250531
brfss,random_forest,1,5000,val,0.38760690656769403,0.5027208036835497
brfss,logistic_regression,1,5000,train,0.37870416875941737,0.8004246284501062
brfss,logistic_regression,1,5000,val,0.3735912938331318,0.8082879866052741
brfss,random_forest,1,10000,train,0.5626060400407193,0.8800424628450106
brfss,random_forest,1,10000,val,0.39084699453551913,0.5987861029719548
brfss,logistic_regression,1,10000,train,0.37340664833791554,0.7929936305732485
brfss,logistic_regression,1,10000,val,0.37448920023350846,0.8055671829217246
brfss,random_forest,1,25000,train,0.4815884476534296,0.8496815286624204
brfss,random_forest,1,25000,val,0.3873289287399717,0.6871075763917958
brfss,logistic_regression,1,25000,train,0.3655131734172237,0.7893842887473461
brfss,logistic_regression,1,25000,val,0.3732550303263695,0.8114273754709084
brfss,random_forest,1,50000,train,0.4379272326350606,0.8434911870885539
brfss,random_forest,1,50000,val,0.38306581923947,0.7442444537463374
brfss,logistic_regression,1,50000,train,0.372042155498111,0.7946485453387131
brfss,logistic_regression,1,50000,val,0.3764327171633419,0.8076601088321473
brfss,random_forest,1,100000,train,0.4079643264544229,0.8353328378808791
brfss,random_forest,1,100000,val,0.3787824848700605,0.77940560904144
brfss,logistic_regression,1,100000,train,0.37546776502498935,0.7936086633400573
brfss,logistic_regression,1,100000,val,0.3780619773733399,0.8043114273754709
brfss,random_forest,1,202944,train,0.38937227710621586,0.8299241433429244
brfss,random_forest,1,202944,val,0.37417332092294125,0.7992884051904563
brfss,logistic_regression,1,202944,train,0.37607770651648037,0.7929897985874967
brfss,logistic_regression,1,202944,val,0.3798860540004954,0.8024277940560904
brfss,random_forest,2,500,train,0.9072164948453608,0.9361702127659575
brfss,random_forest,2,500,val,0.2912065439672802,0.22347771500313873
brfss,logistic_regression,2,500,train,0.36923076923076925,0.7659574468085106
brfss,logistic_regression,2,500,val,0.3616580310880829,0.7302783008997699
brfss,random_forest,2,1000,train,0.87,0.925531914893617
brfss,random_forest,2,1000,val,0.3321132259638848,0.2847876124712283
brfss,logistic_regression,2,1000,train,0.361323155216285,0.7553191489361702
brfss,logistic_regression,2,1000,val,0.37217909833958773,0.7574806444862942
brfss,random_forest,2,2500,train,0.7111853088480802,0.9063829787234042
brfss,random_forest,2,2500,val,0.35469561113732895,0.393178489223687
brfss,logistic_regression,2,2500,train,0.3595724003887269,0.7872340425531915
brfss,logistic_regression,2,2500,val,0.3671432032953719,0.7926344423519565
brfss,random_forest,2,5000,train,0.639235855988244,0.9235668789808917
brfss,random_forest,2,5000,val,0.39035465434901745,0.5216572504708098
brfss,logistic_regression,2,5000,train,0.37092731829573933,0.7855626326963907
brfss,logistic_regression,2,5000,val,0.3747324406391558,0.7876124712282905
brfss,random_forest,2,10000,train,0.5636729222520107,0.8927813163481954
brfss,random_forest,2,10000,val,0.38674715324461517,0.5898723582339401
brfss,logistic_regression,2,10000,train,0.3712366260263747,0.7919320594479831
brfss,logistic_regression,2,10000,val,0.37674972699295145,0.7940991839296924
brfss,random_forest,2,25000,train,0.4792864687243281,0.8670912951167729
brfss,random_forest,2,25000,val,0.38912158574715355,0.6901025319104415
brfss,logistic_regression,2,25000,train,0.37552657973921766,0.7949044585987262
brfss,logistic_regression,2,25000,val,0.3797963585293675,0.7922159447583177
brfss,random_forest,2,50000,train,0.434230518775776,0.8496496071352729
brfss,random_forest,2,50000,val,0.38337859858772405,0.7384390039757271
brfss,logistic_regression,2,50000,train,0.3790175864160097,0.7963474198343597
brfss,logistic_regression,2,50000,val,0.3820236053666902,0.7924251935551371
brfss,random_forest,2,100000,train,0.40272985200521433,0.8364833297940115
brfss,random_forest,2,100000,val,0.37859661675269585,0.7750575434191254
brfss,logistic_regression,2,100000,train,0.373116395494368,0.7913569760033977
brfss,logistic_regression,2,100000,val,0.38027183689786126,0.7961916718978865
brfss,random_forest,2,202944,train,0.38800516430781223,0.8333158941090301
brfss,random_forest,2,202944,val,0.37571026236474137,0.7955639255074284
brfss,logistic_regression,2,202944,train,0.3754109301233408,0.7946008161556974
brfss,logistic_regression,2,202944,val,0.3815769712140175,0.797447164678803
brfss,random_forest,3,500,train,0.9387755102040817,0.9787234042553191
brfss,random_forest,3,500,val,0.17309761721752498,0.1178070726093325
brfss,logistic_regression,3,500,train,0.3287671232876712,0.7659574468085106
brfss,logistic_regression,3,500,val,0.347980940463012,0.7564344005021971
brfss,random_forest,3,1000,train,0.883495145631068,0.9680851063829787
brfss,random_forest,3,1000,val,0.2808456117873158,0.22933668131408244
brfss,logistic_regression,3,1000,train,0.354916067146283,0.7872340425531915
brfss,logistic_regression,3,1000,val,0.3681243333841231,0.7583176396735719
brfss,random_forest,3,2500,train,0.7695099818511797,0.902127659574468
brfss,random_forest,3,2500,val,0.34478476821192056,0.34860849550115086
brfss,logistic_regression,3,2500,train,0.3448940269749518,0.7617021276595745
brfss,logistic_regression,3,2500,val,0.36322040498442365,0.7807072609332496
brfss,random_forest,3,5000,train,0.6516679596586501,0.89171974522293
brfss,random_forest,3,5000,val,0.3733310510099281,0.4563716258631513
brfss,logistic_regression,3,5000,train,0.3622200584225901,0.7898089171974523
brfss,logistic_regression,3,5000,val,0.36686506960499776,0.7802887633396108
brfss,random_forest,3,10000,train,0.5565275908479138,0.8779193205944799
brfss,random_forest,3,10000,val,0.3866315351546249,0.5833856455325381
brfss,logistic_regression,3,10000,train,0.3629719853836784,0.7908704883227177
brfss,logistic_regression,3,10000,val,0.36969785717772247,0.7924251935551371
brfss,random_forest,3,25000,train,0.4782093794410232,0.8573248407643312
brfss,random_forest,3,25000,val,0.38540505660820085,0.687382297551789
brfss,logistic_regression,3,25000,train,0.3727798842546398,0.7932059447983015
brfss,logistic_regression,3,25000,val,0.3683314691436074,0.7924251935551371
brfss,random_forest,3,50000,train,0.4401098901098901,0.8504990443830962
brfss,random_forest,3,50000,val,0.37969619979458347,0.7348817744297971
brfss,logistic_regression,3,50000,train,0.381029263370333,0.8018687619452113
brfss,logistic_regression,3,50000,val,0.3704906737536296,0.7876124712282905
brfss,random_forest,3,100000,train,0.41008036201919323,0.837120407729879
brfss,random_forest,3,100000,val,0.372786484836149,0.7664783427495292
brfss,logistic_regression,3,100000,train,0.37885041272397824,0.7992142705457634
brfss,logistic_regression,3,100000,val,0.36990134000883523,0.7884494664155681
brfss,random_forest,3,202944,train,0.39044157375116656,0.8317463639217327
brfss,random_forest,3,202944,val,0.36834406085430077,0.7903327055869429
brfss,logistic_regression,3,202944,train,0.37910384581865264,0.796536570053364
brfss,logistic_regression,3,202944,val,0.3712580756522168,0.7876124712282905
brfss,random_forest,4,500,train,0.9,0.9574468085106383
brfss,random_forest,4,500,val,0.21249480537470564,0.16049382716049382
brfss,logistic_regression,4,500,train,0.37948717948717947,0.7872340425531915
brfss,logistic_regression,4,500,val,0.35984163448848916,0.7702448210922788
brfss,random_forest,4,1000,train,0.8666666666666667,0.9680851063829787
brfss,random_forest,4,1000,val,0.3295466839770637,0.31868591755597403
brfss,logistic_regression,4,1000,train,0.4,0.8297872340425532
brfss,logistic_regression,4,1000,val,0.36807587529008173,0.7633396107972379
brfss,random_forest,4,2500,train,0.7963636363636364,0.9319148936170213
brfss,random_forest,4,2500,val,0.36289302053927774,0.39003975727139567
brfss,logistic_regression,4,2500,train,0.3862487360970677,0.8127659574468085
brfss,logistic_regression,4,2500,val,0.36754200128097747,0.7804980121364302
brfss,random_forest,4,5000,train,0.6793349168646081,0.910828025477707
brfss,random_forest,4,5000,val,0.3832506516438241,0.4768780079514543
brfss,logistic_regression,4,5000,train,0.38481272447408926,0.7961783439490446
brfss,logistic_regression,4,5000,val,0.3703407214689548,0.7744297970286671
brfss,random_forest,4,10000,train,0.5865724381625441,0.881104033970276
brfss,random_forest,4,10000,val,0.39445476632842646,0.5775266792215945
brfss,logistic_regression,4,10000,train,0.3789687579375159,0.7919320594479831
brfss,logistic_regression,4,10000,val,0.37297243506816596,0.7842644904791798
brfss,random_forest,4,25000,train,0.48062939563714385,0.8560509554140128
brfss,random_forest,4,25000,val,0.38360520581826746,0.6815233312408454
brfss,logistic_regression,4,25000,train,0.37702265372168287,0.7915074309978769
brfss,logistic_regression,4,25000,val,0.37233884909854287,0.7886587152123875
brfss,random_forest,4,50000,train,0.4371692039068042,0.850711403695052
brfss,random_forest,4,50000,val,0.3763417775869472,0.7336262816488806
brfss,logistic_regression,4,50000,train,0.38143074581430747,0.7982586536419622
brfss,logistic_regression,4,50000,val,0.37292845092785554,0.786356978447374
brfss,random_forest,4,100000,train,0.4067699963713649,0.8331917604586961
brfss,random_forest,4,100000,val,0.3737898705798431,0.7675245867336263
brfss,logistic_regression,4,100000,train,0.3759198332370595,0.7946485453387131
brfss,logistic_regression,4,100000,val,0.3721273559372078,0.7911697007742206
brfss,random_forest,4,202944,train,0.388793008482356,0.8309092811551743
brfss,random_forest,4,202944,val,0.3702217218932015,0.7913789495710399
brfss,logistic_regression,4,202944,train,0.37771466134173415,0.7966412053991838
brfss,logistic_regression,4,202944,val,0.37344931547471955,0.7905419543837623
