dataset,model,fold,size,split,f1,recall
cleveland,random_forest,0,24,train,1.0,1.0
cleveland,random_forest,0,24,val,0.7796610169491526,0.8214285714285714
cleveland,logistic_regression,0,24,train,0.8571428571428571,0.8181818181818182
cleveland,logistic_regression,0,24,val,0.8,0.8571428571428571
cleveland,random_forest,0,48,train,1.0,1.0
cleveland,random_forest,0,48,val,0.8363636363636363,0.8214285714285714
cleveland,logistic_regression,0,48,train,0.9523809523809523,0.9090909090909091
cleveland,logistic_regression,0,48,val,0.847457627118644,0.8928571428571429
cleveland,random_forest,0,72,train,0.9850746268656716,1.0
cleveland,random_forest,0,72,val,0.8727272727272727,0.8571428571428571
cleveland,logistic_regression,0,72,train,0.8787878787878788,0.8787878787878788
cleveland,logistic_regression,0,72,val,0.8064516129032258,0.8928571428571429
cleveland,random_forest,0,96,train,0.9662921348314607,0.9772727272727273
cleveland,random_forest,0,96,val,0.8571428571428571,0.8571428571428571
cleveland,logistic_regression,0,96,train,0.8764044943820225,0.8863636363636364
cleveland,logistic_regression,0,96,val,0.8275862068965517,0.8571428571428571
cleveland,random_forest,0,121,train,0.9724770642201835,0.9636363636363636
cleveland,random_forest,0,121,val,0.896551724137931,0.9285714285714286
cleveland,logistic_regression,0,121,train,0.8648648648648649,0.8727272727272727
cleveland,logistic_regression,0,121,val,0.8333333333333334,0.8928571428571429
cleveland,random_forest,0,145,train,0.9924812030075187,1.0
cleveland,random_forest,0,145,val,0.8620689655172413,0.8928571428571429
cleveland,logistic_regression,0,145,train,0.8615384615384616,0.8484848484848485
cleveland,logistic_regression,0,145,val,0.8333333333333334,0.8928571428571429
cleveland,random_forest,0,169,train,0.987012987012987,0.987012987012987
cleveland,random_forest,0,169,val,0.8727272727272727,0.8571428571428571
cleveland,logistic_regression,0,169,train,0.847682119205298,0.8311688311688312
cleveland,logistic_regression,0,169,val,0.9090909090909091,0.8928571428571429
cleveland,random_forest,0,193,train,0.9830508474576272,0.9886363636363636
cleveland,random_forest,0,193,val,0.8771929824561403,0.8928571428571429
cleveland,logistic_regression,0,193,train,0.8620689655172413,0.8522727272727273
cleveland,logistic_regression,0,193,val,0.9090909090909091,0.8928571428571429
cleveland,random_forest,0,217,train,0.9748743718592965,0.9797979797979798
cleveland,random_forest,0,217,val,0.8771929824561403,0.8928571428571429
cleveland,logistic_regression,0,217,train,0.8601036269430051,0.8383838383838383
cleveland,logistic_regression,0,217,val,0.9090909090909091,0.8928571428571429
cleveland,random_forest,0,242,train,0.9818181818181818,0.9818181818181818
cleveland,random_forest,0,242,val,0.8928571428571429,0.8928571428571429
cleveland,logistic_regression,0,242,train,0.8465116279069768,0.8272727272727273
cleveland,logistic_regression,0,242,val,0.8928571428571429,0.8928571428571429
cleveland,random_forest,1,24,train,1.0,1.0
cleveland,random_forest,1,24,val,0.8518518518518519,0.8214285714285714
cleveland,logistic_regression,1,24,train,1.0,1.0
cleveland,logistic_regression,1,24,val,0.8,0.7857142857142857
cleveland,random_forest,1,48,train,1.0,1.0
cleveland,random_forest,1,48,val,0.8709677419354839,0.9642857142857143
cleveland,logistic_regression,1,48,train,0.8636363636363636,0.8636363636363636
cleveland,logistic_regression,1,48,val,0.8571428571428571,0.9642857142857143
