dataset,model,size,split,metric,mean,std
brfss,logistic_regression,500,train,f1,0.37470041845936347,0.02865725178495785
brfss,logistic_regression,500,train,recall,0.778723404255319,0.0190303657659556
brfss,logistic_regression,500,val,f1,0.36236270328057213,0.009602836229088405
brfss,logistic_regression,500,val,recall,0.7546146104009003,0.015531058727695125
brfss,logistic_regression,1000,train,f1,0.3784217981119404,0.026067048553842478
brfss,logistic_regression,1000,train,recall,0.7914893617021277,0.03730995301436208
brfss,logistic_regression,1000,val,f1,0.3698683736113241,0.0037951665512082453
brfss,logistic_regression,1000,val,recall,0.7646178678151964,0.010732623642564098
brfss,logistic_regression,2500,train,f1,0.36794357654621146,0.015988108709882536
brfss,logistic_regression,2500,train,recall,0.7923404255319149,0.019592960737398028
brfss,logistic_regression,2500,val,f1,0.36640058602621217,0.0018820395037610737
brfss,logistic_regression,2500,val,recall,0.7929110992166002,0.01250555409345753
brfss,logistic_regression,5000,train,f1,0.37535275448787964,0.008878440428446875
brfss,logistic_regression,5000,train,recall,0.7966029723991508,0.009890288491594132
brfss,logistic_regression,5000,val,f1,0.37091681561206297,0.003237606450603963
brfss,logistic_regression,5000,val,recall,0.789269889868916,0.013295324580629082
brfss,logistic_regression,10000,train,f1,0.3721240654122523,0.005845930832974039
brfss,logistic_regression,10000,train,recall,0.7932059447983015,0.002945740323887854
brfss,logistic_regression,10000,val,f1,0.37333129444392016,0.0025835139844911743
brfss,logistic_regression,10000,val,recall,0.7950033156606127,0.007870149671366415
brfss,logistic_regression,25000,train,f1,0.37387455934224284,0.0051339213351701525
brfss,logistic_regression,25000,train,recall,0.793715498938429,0.003861551607435981
brfss,logistic_regression,25000,val,f1,0.3740326607887248,0.004330140815389224
brfss,logistic_regression,25000,val,recall,0.7968031268374414,0.00903583472285602
brfss,logistic_regression,50000,train,f1,0.3775636134114122,0.0041901117259283025
brfss,logistic_regression,50000,train,recall,0.7968146103206626,0.003445198520394694
brfss,logistic_regression,50000,val,f1,0.37598653612019234,0.004485795859904788
brfss,logistic_regression,50000,val,recall,0.7946267729324725,0.008833573090224247
brfss,logistic_regression,100000,train,f1,0.37570853567904916,0.0020593611662786558
brfss,logistic_regression,100000,train,recall,0.7944449563603756,0.0029207207758078896
brfss,logistic_regression,100000,val,f1,0.3758044087160599,0.004515894287194032
brfss,logistic_regression,100000,val,recall,0.7960077098853459,0.00641864250043489
brfss,logistic_regression,202944,train,f1,0.3769534457230651,0.001465720668139181
brfss,logistic_regression,202944,train,recall,0.7949818234746703,0.0015804712908276718
brfss,logistic_regression,202944,val,f1,0.3769081485148264,0.004378659598232886
brfss,logistic_regression,202944,val,recall,0.7950868312436044,0.005944655604022677
brfss,random_forest,500,train,f1,0.9116984010098885,0.017076987054132537
brfss,random_forest,500,train,recall,0.9446808510638298,0.024259051597853975
brfss,random_forest,500,val,f1,0.2499127584544309,0.05418272879267694
brfss,random_forest,500,val,recall,0.19700704149791654,0.05578283553479624
brfss,random_forest,1000,train,f1,0.8702311928689037,0.018219970382445605
brfss,random_forest,1000,train,recall,0.946808510638298,0.019902432908372084
brfss,random_forest,1000,val,f1,0.3154252878796504,0.020513663792008984
brfss,random_forest,1000,val,recall,0.2817985428961347,0.032700519987252756
brfss,random_forest,2500,train,f1,0.7652897366717395,0.031988332934017906
brfss,random_forest,2500,train,recall,0.9123404255319147,0.016644772098389774
brfss,random_forest,2500,val,f1,0.3559035849732659,0.0073996371417325
brfss,random_forest,2500,val,recall,0.38459054722720815,0.02026842820402801
brfss,random_forest,5000,train,f1,0.6621347463329121,0.016953499623528823
brfss,random_forest,5000,train,recall,0.9031847133757962,0.014131262243986137
brfss,random_forest,5000,val,f1,0.3846147224796347,0.0068266764289277694
brfss,random_forest,5000,val,recall,0.49106509389349995,0.02510297936065706
brfss,random_forest,10000,train,f1,0.5723457436158289,0.015991027117769833
brfss,random_forest,10000,train,recall,0.8789808917197452,0.010615711252653934
brfss,random_forest,10000,val,f1,0.3914417387957148,0.005119272759944348
brfss,random_forest,10000,val,recall,0.5855273844837594,0.008929459185143915
brfss,random_forest,25000,train,f1,0.48093457850553156,0.0025913917128737815
brfss,random_forest,25000,train,recall,0.8551167728237793,0.008252443905023556
brfss,random_forest,25000,val,f1,0.3877008510348926,0.003631303511892331
brfss,random_forest,25000,val,recall,0.6863935115880827,0.003132750526804064
brfss,random_forest,50000,train,f1,0.43630495150308857,0.0031600228899213295
brfss,random_forest,50000,train,recall,0.8458696113824592,0.0067645691357066905
brfss,random_forest,50000,val,f1,0.38171538181197845,0.00376561705076311
brfss,random_forest,50000,val,recall,0.7390034764729989,0.004923022175734004
brfss,random_forest,100000,train,f1,0.4062933222842437,0.0029867322956349525
brfss,random_forest,100000,train,recall,0.8346216540078137,0.0025259705212001115
brfss,random_forest,100000,val,f1,0.37660009105102543,0.0030482560655555727
brfss,random_forest,100000,val,recall,0.77336504560599,0.006038038405493103
brfss,random_forest,202944,train,f1,0.3890511795602861,0.0009169238719778251
brfss,random_forest,202944,train,recall,0.8306826677639465,0.0021627147900035682
brfss,random_forest,202944,val,f1,0.3726332620029412,0.0031778221897038623
brfss,random_forest,202944,val,recall,0.7946263174725547,0.0037203244391636895
cleveland,logistic_regression,24,train,f1,0.9745078110295502,0.03801191680250462
cleveland,logistic_regression,24,train,recall,0.9781818181818182,0.04752844588290335
cleveland,logistic_regression,24,val,f1,0.7602123246560563,0.05614914653262604
cleveland,logistic_regression,24,val,recall,0.7534391534391535,0.09611285024818422
cleveland,logistic_regression,48,train,f1,0.9149084956162813,0.04087106483515916
cleveland,logistic_regression,48,train,recall,0.9072727272727273,0.04445879015491275
cleveland,logistic_regression,48,val,f1,0.7864349267555053,0.06086639586869401
cleveland,logistic_regression,48,val,recall,0.7970370370370371,0.0963886144876361
cleveland,logistic_regression,72,train,f1,0.8939240524022946,0.03982309849336367
cleveland,logistic_regression,72,train,recall,0.8824242424242424,0.04132782332419957
cleveland,logistic_regression,72,val,f1,0.7913398295833958,0.05332552884602456
cleveland,logistic_regression,72,val,recall,0.7896825396825397,0.08420362442475073
cleveland,logistic_regression,96,train,f1,0.885448549369172,0.03523146316265939
cleveland,logistic_regression,96,train,recall,0.8781818181818182,0.038188130791298625
cleveland,logistic_regression,96,val,f1,0.8036143075760478,0.0535362318604385
cleveland,logistic_regression,96,val,recall,0.8,0.07384143993979184
cleveland,logistic_regression,121,train,f1,0.874826274903772,0.02664762807401971
cleveland,logistic_regression,121,train,recall,0.866181818181818,0.027713608157996804
cleveland,logistic_regression,121,val,f1,0.8037036066739242,0.05067989683532616
cleveland,logistic_regression,121,val,recall,0.7911640211640212,0.07817702780806783
cleveland,logistic_regression,145,train,f1,0.8689857855774047,0.02508323447608233
cleveland,logistic_regression,145,train,recall,0.8533333333333334,0.023844589159823983
cleveland,logistic_regression,145,val,f1,0.8080885361406525,0.04885120299435264
cleveland,logistic_regression,145,val,recall,0.7924867724867726,0.06718886666230477
cleveland,logistic_regression,169,train,f1,0.863702524659526,0.020961585831609855
cleveland,logistic_regression,169,train,recall,0.8472727272727272,0.021300285021891782
cleveland,logistic_regression,169,val,f1,0.8191362334469068,0.05710987632142124
cleveland,logistic_regression,169,val,recall,0.7955026455026455,0.07550118091444623
cleveland,logistic_regression,193,train,f1,0.8615479605854773,0.016041878820005996
cleveland,logistic_regression,193,train,recall,0.84,0.017020183286864363
cleveland,logistic_regression,193,val,f1,0.8179725704555313,0.05697180534989186
cleveland,logistic_regression,193,val,recall,0.7939682539682539,0.07721239121433515
cleveland,logistic_regression,217,train,f1,0.8604838255539806,0.015500569556665164
cleveland,logistic_regression,217,train,recall,0.8351515151515152,0.01971638514741731
cleveland,logistic_regression,217,val,f1,0.8241972707625622,0.05598253297155961
cleveland,logistic_regression,217,val,recall,0.7982539682539682,0.0687079022200341
cleveland,logistic_regression,242,train,f1,0.8598707047779972,0.015374091477615044
cleveland,logistic_regression,242,train,recall,0.83404095004095,0.01892439704037221
